food_name,food_category,food_type,food_origin,food_price,food_expiration_date,food_nutrition_facts,food_allergens,food_ingredients,food_brand,food_image,food_serving_size,food_calories,food_protein,food_fat,food_carbohydrates,food_sugar,food_fiber,food_vitamin_a,food_vitamin_c,food_calcium,food_iron,food_potassium,food_sodium,food_cholesterol,food_gluten_free,food_vegan,food_halal,food_kosher,food_gmo_free,food_organic
"Pasta - Cappellini, Dry",fruit,conventional,Paraguay,54.45,12/13/2022,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",fish,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",http://dummyimage.com/236x100.png/dddddd/000000,http://dummyimage.com/166x100.png/cc0000/ffffff,68.3,336,70.1,81.9,48.3,66.3,40.1,42.3,29.2,6.5,78.5,26.8,552,46.4,False,False,False,False,True,True
"Asparagus - White, Fresh",dairy,organic,Chile,55.96,11/6/2022,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",fish,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",http://dummyimage.com/194x100.png/dddddd/000000,http://dummyimage.com/184x100.png/ff4444/ffffff,78.9,2,49.8,36.4,28.4,21.8,65.1,78.7,96.9,30.4,66.8,8.8,199,25.3,True,True,False,False,True,False
Pomello,grain,organic,Indonesia,72.43,11/30/2023,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",eggs,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",http://dummyimage.com/175x100.png/dddddd/000000,http://dummyimage.com/247x100.png/ff4444/ffffff,86.6,621,6.8,29.7,24.6,30.0,89.4,70.3,92.7,76.4,74.8,30.3,87,41.2,True,False,True,False,False,False
Veal - Slab Bacon,dairy,conventional,Philippines,74.31,11/2/2023,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",eggs,Fusce consequat. Nulla nisl. Nunc nisl.,http://dummyimage.com/221x100.png/ff4444/ffffff,http://dummyimage.com/237x100.png/cc0000/ffffff,40.0,816,46.5,69.7,90.6,26.0,16.7,97.9,47.4,62.2,77.5,51.2,889,83.2,False,False,True,False,True,False
Beer - Mill St Organic,fruit,organic,China,72.67,11/2/2023,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",eggs,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",http://dummyimage.com/233x100.png/cc0000/ffffff,http://dummyimage.com/236x100.png/dddddd/000000,19.2,228,65.4,27.4,42.4,28.3,97.0,78.2,63.4,0.2,57.9,78.2,701,75.9,False,False,False,False,False,True
"Chicken - Thigh, Bone In",vegetable,conventional,Russia,6.6,5/11/2023,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,peanuts,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",http://dummyimage.com/154x100.png/cc0000/ffffff,http://dummyimage.com/249x100.png/dddddd/000000,6.5,723,4.7,49.7,15.9,37.7,17.6,17.4,8.5,99.5,57.7,44.6,571,32.4,False,False,False,True,True,True
Vodka - Moskovskaya,fruit,organic,France,88.62,8/5/2022,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",fish,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",http://dummyimage.com/181x100.png/5fa2dd/ffffff,http://dummyimage.com/248x100.png/5fa2dd/ffffff,91.6,617,30.2,1.0,88.1,63.8,51.6,98.5,8.0,96.5,52.2,49.7,365,21.8,True,True,False,True,True,True
Veal - Insides Provini,grain,organic,China,77.01,1/10/2022,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,tree nuts,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",http://dummyimage.com/165x100.png/dddddd/000000,http://dummyimage.com/142x100.png/5fa2dd/ffffff,51.1,760,2.9,76.9,78.7,37.5,49.9,29.4,71.1,6.2,74.5,32.9,916,11.4,True,False,True,False,True,False
Myers Planters Punch,grain,organic,China,11.68,7/20/2023,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",soy,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",http://dummyimage.com/205x100.png/5fa2dd/ffffff,http://dummyimage.com/153x100.png/cc0000/ffffff,48.6,939,30.3,97.0,72.4,50.2,40.2,1.9,96.9,89.7,72.8,59.9,317,71.3,False,False,True,True,True,True
Lemons,grain,conventional,Philippines,57.13,7/10/2023,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",eggs,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",http://dummyimage.com/224x100.png/cc0000/ffffff,http://dummyimage.com/244x100.png/dddddd/000000,87.7,398,59.3,58.1,3.5,49.7,59.4,30.4,6.7,97.0,23.1,19.2,156,77.6,True,True,True,True,False,False
Heavy Duty Dust Pan,vegetable,conventional,Colombia,47.12,11/28/2022,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",peanuts,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",http://dummyimage.com/168x100.png/5fa2dd/ffffff,http://dummyimage.com/215x100.png/ff4444/ffffff,7.7,176,39.6,69.0,22.1,38.5,66.2,38.0,94.5,46.1,38.7,22.1,997,19.2,True,False,False,False,True,True
Dragon Fruit,vegetable,organic,United States,16.97,9/9/2022,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,tree nuts,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",http://dummyimage.com/154x100.png/5fa2dd/ffffff,http://dummyimage.com/116x100.png/5fa2dd/ffffff,29.0,918,72.2,3.4,66.1,34.2,96.8,35.7,31.0,17.0,45.1,68.5,756,66.9,False,False,False,False,False,True
"Wine - Red, Black Opal Shiraz",fruit,organic,Brazil,33.63,11/23/2022,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",peanuts,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",http://dummyimage.com/177x100.png/cc0000/ffffff,http://dummyimage.com/235x100.png/5fa2dd/ffffff,71.9,660,41.6,63.9,72.8,58.1,84.0,57.8,71.0,93.6,32.5,82.9,363,52.1,True,True,False,False,False,False
Water - Evian 355 Ml,grain,conventional,China,93.13,5/12/2022,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",wheat,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",http://dummyimage.com/129x100.png/cc0000/ffffff,http://dummyimage.com/180x100.png/5fa2dd/ffffff,99.1,798,63.8,67.6,55.1,94.8,17.2,47.6,60.1,49.6,9.0,83.2,851,56.6,True,False,True,False,True,True
Chutney Sauce - Mango,grain,organic,Ukraine,14.94,2/8/2022,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,tree nuts,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,http://dummyimage.com/215x100.png/dddddd/000000,http://dummyimage.com/129x100.png/5fa2dd/ffffff,15.6,68,66.0,41.6,88.2,34.4,19.1,1.4,73.2,92.2,50.0,62.7,931,28.0,True,True,False,True,False,True
Beef - Salted,dairy,organic,United States,79.43,1/15/2022,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,shellfish,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",http://dummyimage.com/110x100.png/cc0000/ffffff,http://dummyimage.com/139x100.png/dddddd/000000,66.8,266,4.8,27.0,41.5,21.3,32.3,52.2,55.3,14.5,83.2,81.9,94,48.5,True,True,False,True,False,True
Bay Leaf,dairy,conventional,China,43.56,1/23/2022,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,eggs,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",http://dummyimage.com/210x100.png/5fa2dd/ffffff,http://dummyimage.com/187x100.png/cc0000/ffffff,56.4,863,34.8,83.9,34.5,98.6,16.8,31.3,40.9,46.6,71.7,96.1,407,1.1,True,True,False,True,True,True
Prunes - Pitted,vegetable,conventional,China,96.76,5/15/2023,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",shellfish,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",http://dummyimage.com/186x100.png/ff4444/ffffff,http://dummyimage.com/217x100.png/5fa2dd/ffffff,73.3,133,40.4,27.1,71.4,74.5,6.6,43.2,56.9,63.8,63.5,11.7,285,56.8,True,True,True,False,False,False
Fennel - Seeds,grain,conventional,Poland,93.1,10/25/2023,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",tree nuts,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,http://dummyimage.com/225x100.png/cc0000/ffffff,http://dummyimage.com/126x100.png/5fa2dd/ffffff,71.8,520,94.3,25.0,80.9,50.6,71.1,16.7,82.2,50.3,51.6,67.0,26,77.9,True,False,True,True,True,False
Flour - All Purpose,vegetable,organic,China,94.21,1/9/2022,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",wheat,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",http://dummyimage.com/171x100.png/ff4444/ffffff,http://dummyimage.com/152x100.png/ff4444/ffffff,91.6,177,27.3,98.1,23.9,57.4,54.2,25.7,97.6,58.6,44.1,15.0,511,52.2,True,False,False,False,False,False
Mushroom - King Eryingii,vegetable,conventional,Netherlands,26.39,12/3/2023,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",wheat,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",http://dummyimage.com/187x100.png/ff4444/ffffff,http://dummyimage.com/154x100.png/dddddd/000000,78.3,421,36.7,43.5,20.5,84.3,46.2,14.5,81.4,75.2,73.1,35.0,980,33.2,True,True,False,False,False,True
Milk - 2%,vegetable,conventional,China,26.74,9/23/2023,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",eggs,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",http://dummyimage.com/154x100.png/cc0000/ffffff,http://dummyimage.com/206x100.png/dddddd/000000,52.6,731,84.2,93.1,16.7,16.4,98.5,84.4,67.4,37.8,78.2,15.2,187,99.4,True,True,True,True,False,True
Milk - Homo,vegetable,organic,Indonesia,10.31,5/3/2023,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",soy,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",http://dummyimage.com/226x100.png/5fa2dd/ffffff,http://dummyimage.com/152x100.png/5fa2dd/ffffff,41.9,831,74.9,15.9,74.5,19.3,14.0,17.7,26.4,21.1,98.3,0.8,322,53.2,True,False,False,True,False,False
Olives - Stuffed,fruit,organic,Indonesia,40.17,12/16/2023,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",milk,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",http://dummyimage.com/218x100.png/dddddd/000000,http://dummyimage.com/145x100.png/dddddd/000000,44.4,591,91.4,84.1,53.0,83.5,78.5,12.9,61.2,11.4,24.8,61.7,387,72.9,True,True,False,True,False,True
"Syrup - Monin, Swiss Choclate",fruit,organic,Brazil,84.41,3/4/2022,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",peanuts,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,http://dummyimage.com/211x100.png/dddddd/000000,http://dummyimage.com/122x100.png/ff4444/ffffff,35.5,481,98.3,78.8,74.4,95.7,96.1,51.6,30.8,47.1,32.0,94.0,689,71.3,False,False,False,False,True,False
Energy Drink - Franks Original,fruit,conventional,Peru,21.1,6/30/2022,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,soy,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",http://dummyimage.com/250x100.png/dddddd/000000,http://dummyimage.com/109x100.png/5fa2dd/ffffff,68.4,290,85.3,34.5,27.6,49.0,51.7,16.1,61.6,49.4,79.7,96.9,596,4.3,False,True,False,False,False,True
Bread Ww Cluster,meat,conventional,Brazil,44.02,3/30/2023,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",wheat,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",http://dummyimage.com/105x100.png/dddddd/000000,http://dummyimage.com/181x100.png/ff4444/ffffff,24.4,301,99.1,97.4,38.7,76.5,69.0,69.9,15.0,82.8,26.9,22.9,719,3.0,False,True,True,True,False,True
